2024-10-08 12:54:29 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v6 BE Disabled.dll'

2024-10-08 15:15:15 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-08 15:15:17 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 19136, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-08 15:15:17 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v6 BE Disabled.dll'

2024-10-08 15:51:13 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-08 15:51:15 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 16596, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-08 15:51:15 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v6 BE Disabled.dll'

2024-10-08 17:03:33 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-08 17:03:34 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 20104, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-08 17:03:34 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v6 BE Disabled.dll'

2024-10-08 17:27:45 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-08 17:27:45 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 21216, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-08 17:27:45 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v6 BE Disabled.dll'

2024-10-10 14:23:54 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-10 14:24:02 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 8788, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-10 14:24:02 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\online_enabler_[unknowncheats.me]_.dll'

2024-10-11 11:11:28 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-11 11:11:37 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 15944, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-11 11:11:37 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v6 BE Disabled.dll'

2024-10-16 16:47:52 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-16 16:47:59 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 19392, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-16 16:47:59 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\online_enabler_[unknowncheats.me]_.dll'

2024-10-16 16:51:18 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-16 16:51:20 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 5792, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-16 16:51:20 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\online_enabler_[unknowncheats.me]_.dll'
2024-10-16 16:55:30 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 5792, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-16 16:55:30 *ERROR*      Can not attach to the process.
An attempt was made to access an exiting process.

2024-10-16 16:55:36 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 14900, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-16 16:55:36 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu.dll'

2024-10-19 07:12:06 *NORMAL*     Started on Windows 10.0.0.19045 x64. Driver status: 0xC0000225
2024-10-19 07:12:12 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 10340, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-19 07:12:12 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu-dev-9b422e09e973bb3ddf5d69a2625b197e93eb945c.dll'

2024-10-19 10:33:19 *NORMAL*     Started on Windows 10.0.0.19045 x64. Driver status: 0xC0000225
2024-10-19 10:33:36 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13432, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-19 10:33:36 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu-dev-9b422e09e973bb3ddf5d69a2625b197e93eb945c.dll'

